Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,James Wood,23,WSN,NL,2.7,82,382,315,70,82,19,0,20,49,13,1,61,115,0.26,0.385,0.511,0.896,150,0.39,146,161,2,4,0,2,8,*9D7,,woodja03
2,Taylor Ward,32,BAL,AL,1.8,81,373,304,52,78,18,0,5,22,2,2,64,78,0.257,0.389,0.365,0.754,114,0.345,119,111,7,3,0,2,1,*7D,,wardta01
3,Gunnar Henderson,25,BAL,AL,1.2,81,371,335,45,76,14,2,16,39,6,4,30,88,0.227,0.299,0.424,0.723,101,0.32,102,142,3,5,0,1,1,*6/D,,hendegu01
4,Nick Kurtz,23,ATH,AL,3.7,80,366,291,56,81,15,1,19,62,7,1,73,111,0.278,0.426,0.533,0.959,160,0.418,160,155,5,2,0,0,9,*3/D,,kurtzni01
5,Alex Bregman,32,CHC,NL,2.1,79,361,312,37,76,11,1,6,26,2,1,40,58,0.244,0.338,0.343,0.681,96,0.313,100,107,9,6,0,3,2,*5/DH,,bregmal01
6,Nico Hoerner,29,CHC,NL,1.4,79,360,318,34,76,21,0,4,35,12,2,34,26,0.239,0.317,0.343,0.659,89,0.311,95,109,7,4,0,4,0,*4/6H,,hoernni01
7,Yordan Alvarez,29,HOU,AL,3.7,82,358,296,57,94,16,0,25,56,1,0,55,60,0.318,0.43,0.625,1.055,191,0.446,190,185,2,5,0,2,13,*D7,,alvaryo01
8,Zach Neto,25,LAA,AL,2,79,358,311,56,71,16,2,17,39,11,7,39,117,0.228,0.327,0.457,0.783,119,0.342,119,142,2,7,0,1,1,*6/H,,netoza01
9,Michael Busch,28,CHC,NL,1.7,80,357,292,32,70,13,2,9,44,2,0,54,80,0.24,0.37,0.39,0.76,119,0.35,125,114,4,8,0,3,1,*3/H,,buschmi02
10,Pete Alonso,31,BAL,AL,1.9,82,355,308,51,78,14,0,18,55,2,0,40,83,0.253,0.341,0.474,0.815,127,0.354,123,146,8,3,0,4,2,*3/D,,alonspe01
11,Bo Bichette,28,NYM,NL,-0.1,81,354,327,42,83,12,1,10,45,1,0,21,65,0.254,0.299,0.388,0.688,91,0.301,86,127,9,2,0,4,0,65/D,,bichebo01
12,Ivan Herrera,26,STL,NL,2.4,78,354,283,53,74,13,1,10,35,5,0,48,55,0.261,0.404,0.42,0.824,135,0.382,145,119,8,21,0,2,4,D2,,herreiv01
13,Julio Rodriguez,25,SEA,AL,2,81,354,324,42,80,15,0,14,38,11,3,26,74,0.247,0.308,0.423,0.731,107,0.329,109,137,7,3,0,1,1,*8/D,,rodriju01
14,Pete Crow-Armstrong,24,CHC,NL,5.1,81,350,307,49,88,13,4,17,45,18,5,32,90,0.287,0.367,0.521,0.888,151,0.388,150,160,2,8,1,2,1,*8/H,,crowape01
15,Bryan Reynolds,31,PIT,NL,3.1,81,348,289,54,84,19,2,11,52,5,0,52,74,0.291,0.405,0.484,0.89,144,0.399,150,140,4,5,0,2,2,*79/DH,,reynobr01
16,Trea Turner,33,PHI,NL,-0.2,79,348,324,50,75,13,0,7,23,15,2,21,79,0.231,0.282,0.336,0.618,68,0.287,64,109,4,2,0,1,0,*6/DH,,turnetr01
17,Daylen Lile,23,WSN,NL,1,80,346,314,43,79,17,3,8,38,7,5,24,58,0.252,0.309,0.401,0.711,98,0.309,95,126,4,4,0,4,1,*7D/9,,lileda01
18,Matt Olson,32,ATL,NL,3,79,345,307,53,83,19,0,20,52,2,0,34,79,0.27,0.342,0.528,0.87,142,0.374,139,162,2,1,0,3,2,*3/9,,olsonma02
19,Kevin McGonigle,21,DET,AL,4,78,344,294,47,83,18,3,6,28,9,0,48,46,0.282,0.387,0.425,0.812,125,0.372,129,125,2,2,0,0,0,65/D,,mcgonke01
20,Andy Pages,25,LAD,NL,3.7,80,343,312,46,83,18,1,15,58,8,4,23,69,0.266,0.318,0.474,0.792,119,0.348,120,148,8,3,0,5,0,*8/H,,pagesan01
21,Kyle Schwarber,33,PHI,NL,2.5,77,343,290,52,74,9,1,29,52,1,0,49,117,0.255,0.37,0.593,0.963,157,0.41,157,172,1,4,0,0,3,*D/37H,,schwaky01
22,Sal Stewart,22,CIN,NL,1.1,79,343,297,41,74,17,0,14,55,11,3,42,74,0.249,0.341,0.448,0.789,115,0.352,115,133,6,1,0,3,3,35/D4,,stewasa02
23,Junior Caminero,22,TBR,AL,2.7,78,342,295,49,84,12,0,19,43,0,2,45,61,0.285,0.377,0.519,0.896,145,0.382,143,153,13,0,0,2,5,*5/3,,caminju01
24,Jo Adell,27,LAA,AL,-0.1,81,341,319,37,79,14,0,10,41,3,0,10,79,0.248,0.29,0.386,0.676,89,0.3,86,123,7,10,0,2,0,*9/7D8,,adelljo01
25,Freddie Freeman,36,LAD,NL,2.2,78,341,294,45,83,19,1,13,43,2,0,41,57,0.282,0.372,0.486,0.859,139,0.374,137,143,11,3,0,3,1,*3,,freemfr01
26,Cody Bellinger,30,NYY,AL,4,79,340,288,46,77,16,3,11,49,10,4,47,46,0.267,0.365,0.458,0.823,128,0.367,131,132,2,0,0,5,0,*78/93DH,,bellico01
27,Rafael Devers,29,SFG,NL,0.5,80,340,310,36,73,23,1,12,38,0,0,27,101,0.235,0.297,0.432,0.729,106,0.314,101,134,7,1,0,2,2,*3D,,deverra01
28,Otto Lopez,27,MIA,NL,3.8,80,340,315,51,107,21,3,6,35,16,3,16,48,0.34,0.374,0.483,0.856,141,0.387,146,152,7,4,0,5,0,*6/DH,,lopezot01
29,Brandon Nimmo,33,TEX,AL,1.6,79,340,306,32,81,19,3,8,28,3,1,26,70,0.265,0.332,0.425,0.757,121,0.332,118,130,8,6,0,2,1,*9/D8H,,nimmobr01
30,Shohei Ohtani,31,LAD,NL,2.9,73,340,275,56,81,15,2,17,46,6,2,54,78,0.295,0.414,0.549,0.963,168,0.412,166,151,5,5,0,4,9,*D1/H,,ohtansh01
31,Ozzie Albies,29,ATL,NL,2.2,79,339,303,51,85,14,0,12,42,1,3,24,39,0.281,0.333,0.446,0.779,118,0.336,116,135,3,4,0,8,1,*4,,albieoz01
32,Riley Greene,25,DET,AL,1.5,81,339,291,40,85,16,0,9,34,1,1,44,92,0.292,0.386,0.44,0.826,129,0.369,131,128,8,2,0,2,0,*7/DH,,greenri03
33,Xavier Edwards,26,MIA,NL,2.5,81,338,294,44,86,11,5,6,28,11,3,40,43,0.293,0.374,0.425,0.799,127,0.359,128,125,8,0,1,3,4,*4/D,,edwarxa01
34,Bryce Harper,33,PHI,NL,2.1,81,338,283,54,76,14,2,18,47,5,3,50,64,0.269,0.373,0.523,0.896,141,0.385,141,148,8,0,0,5,2,*3/D,,harpebr03
35,Fernando Tatis Jr.,27,SDP,NL,1,78,338,300,35,85,14,1,3,28,19,8,30,68,0.283,0.347,0.367,0.714,101,0.326,103,110,6,2,1,5,1,94/HD,,tatisfe02
36,JJ Wetherholt,23,STL,NL,3.6,74,338,290,49,76,8,0,12,34,8,0,35,53,0.262,0.361,0.414,0.775,120,0.351,121,120,1,11,0,2,2,*4/6H,,wethejj01
37,Jonathan Aranda,28,TBR,AL,1,77,337,282,40,81,12,0,12,54,0,0,44,78,0.287,0.386,0.457,0.843,133,0.368,130,129,7,5,0,6,3,*3/DH,,arandjo01
38,Alec Burleson,27,STL,NL,1.8,77,337,302,42,87,20,1,13,57,2,0,29,49,0.288,0.353,0.49,0.843,137,0.363,133,148,9,3,0,3,2,*3/HD,,burleal01
39,Ian Happ,31,CHC,NL,2.1,77,337,288,54,66,15,2,16,38,4,0,44,106,0.229,0.338,0.462,0.8,127,0.359,131,133,7,4,0,1,3,*7/D,,happia01
40,Miguel Vargas,26,CHW,AL,2.8,78,337,283,52,68,12,1,17,45,10,2,46,58,0.24,0.354,0.47,0.824,129,0.369,131,133,4,5,0,2,1,*53/DH,,vargami01
41,Christian Walker,35,HOU,AL,1.5,81,337,304,43,71,14,1,18,52,0,0,28,75,0.234,0.306,0.464,0.769,111,0.342,114,141,8,4,0,1,2,*3/DH,,walkech02
42,Bobby Witt Jr.,26,KCR,AL,4.3,76,337,299,40,88,19,1,10,32,28,4,35,57,0.294,0.368,0.465,0.833,134,0.386,138,139,6,1,0,2,3,*6,,wittbo02
